Description,ID,Feature,group,KO Description
Carbon metabolism,ko01200,K00297,Plaque,"metF, MTHFR; methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]"
Carbon metabolism,ko01200,K00627,Plaque,"DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]"
Carbon metabolism,ko01200,K00640,Plaque,cysE; serine O-acetyltransferase [EC:2.3.1.30]
Carbon metabolism,ko01200,K01754,Plaque,"E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]"
Carbon metabolism,ko01200,K00036,Plaque,"G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"
Carbon metabolism,ko01200,K00163,Plaque,aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
Carbon metabolism,ko01200,K13788,Plaque,pta; phosphate acetyltransferase [EC:2.3.1.8]
Carbon metabolism,ko01200,K01738,Plaque,cysK; cysteine synthase [EC:2.5.1.47]
Carbon metabolism,ko01200,K01595,Plaque,ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]
Pyruvate metabolism,ko00620,K00627,Plaque,"DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]"
Pyruvate metabolism,ko00620,K00163,Plaque,aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
Pyruvate metabolism,ko00620,K13788,Plaque,pta; phosphate acetyltransferase [EC:2.3.1.8]
Pyruvate metabolism,ko00620,K01649,Plaque,"leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]"
Pyruvate metabolism,ko00620,K00101,Plaque,lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
Pyruvate metabolism,ko00620,K01595,Plaque,ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]
"Phenylalanine, tyrosine and tryptophan biosynthesis",ko00400,K01657,Plaque,trpE; anthranilate synthase component I [EC:4.1.3.27]
"Phenylalanine, tyrosine and tryptophan biosynthesis",ko00400,K01695,Plaque,trpA; tryptophan synthase alpha chain [EC:4.2.1.20]
"Phenylalanine, tyrosine and tryptophan biosynthesis",ko00400,K01696,Plaque,trpB; tryptophan synthase beta chain [EC:4.2.1.20]
"Phenylalanine, tyrosine and tryptophan biosynthesis",ko00400,K00766,Plaque,trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]
"Phenylalanine, tyrosine and tryptophan biosynthesis",ko00400,K01609,Plaque,trpC; indole-3-glycerol phosphate synthase [EC:4.1.1.48]
Cysteine and methionine metabolism,ko00270,K00640,Plaque,cysE; serine O-acetyltransferase [EC:2.3.1.30]
Cysteine and methionine metabolism,ko00270,K00641,Plaque,metX; homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]
Cysteine and methionine metabolism,ko00270,K00549,Plaque,metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
Cysteine and methionine metabolism,ko00270,K00826,Plaque,"E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]"
Cysteine and methionine metabolism,ko00270,K01738,Plaque,cysK; cysteine synthase [EC:2.5.1.47]
Porphyrin metabolism,ko00860,K01845,Plaque,"hemL; glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]"
Porphyrin metabolism,ko00860,K01772,Plaque,"hemH, FECH; protoporphyrin/coproporphyrin ferrochelatase [EC:4.98.1.1 4.99.1.9]"
Porphyrin metabolism,ko00860,K02492,Plaque,hemA; glutamyl-tRNA reductase [EC:1.2.1.70]
Porphyrin metabolism,ko00860,K01749,Plaque,"hemC, HMBS; hydroxymethylbilane synthase [EC:2.5.1.61]"
Porphyrin metabolism,ko00860,K01698,Plaque,"hemB, ALAD; porphobilinogen synthase [EC:4.2.1.24]"
C5-Branched dibasic acid metabolism,ko00660,K01653,Plaque,"E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit [EC:2.2.1.6]"
C5-Branched dibasic acid metabolism,ko00660,K00052,Plaque,"leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]"
C5-Branched dibasic acid metabolism,ko00660,K01704,Plaque,"leuD, IPMI-S; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]"
C5-Branched dibasic acid metabolism,ko00660,K01703,Plaque,"leuC, IPMI-L; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]"
Pantothenate and CoA biosynthesis,ko00770,K01653,Plaque,"E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit [EC:2.2.1.6]"
Pantothenate and CoA biosynthesis,ko00770,K00826,Plaque,"E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]"
Pantothenate and CoA biosynthesis,ko00770,K01687,Plaque,ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]
Pantothenate and CoA biosynthesis,ko00770,K00053,Plaque,ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
Purine metabolism,ko00230,K01589,Plaque,purK; 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]
Purine metabolism,ko00230,K00526,Plaque,"E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]"
Purine metabolism,ko00230,K01139,Plaque,"spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]"
