"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","group"
"ko01210...216","Metabolism","Global and overview maps","ko01210","2-Oxocarboxylic acid metabolism","4/201","117/14535",0.0341880341880342,2.47225411404516,1.89334650988909,0.0791708957999931,0.247929910531557,0.199572064204969,"K01438/K05825/K00169/K11358",4,"Abscess"
"ko00620...217","Metabolism","Carbohydrate metabolism","ko00620","Pyruvate metabolism","4/201","138/14535",0.0289855072463768,2.09604153147307,1.53192484012456,0.124510003493334,0.344574195714109,0.277366225652224,"K13954/K04073/K00090/K00169",4,"Abscess"
"ko00621","Metabolism","Xenobiotics biodegradation and metabolism","ko00621","Dioxin degradation","3/201","31/14535",0.0967741935483871,6.99807414540202,3.95872822865056,0.00880744591861102,0.0748632903081937,0.060261472074707,"K04073/K01666/K18364",3,"Abscess"
"ko00540...219","Metabolism","Glycan biosynthesis and metabolism","ko00540","Lipopolysaccharide biosynthesis","3/201","50/14535",0.06,4.33880597014925,2.80042431860404,0.0317482328958945,0.175399812857434,0.141188703848089,"K07264/K02850/K03760",3,"Abscess"
"ko00053...220","Metabolism","Carbohydrate metabolism","ko00053","Ascorbate and aldarate metabolism","3/201","63/14535",0.0476190476190476,3.44349680170576,2.30157260323387,0.0565565163723898,0.224340848277146,0.180583964557455,"K20023/K01708/K13873",3,"Abscess"
"ko00220...221","Metabolism","Amino acid metabolism","ko00220","Arginine biosynthesis","3/201","67/14535",0.0447761194029851,3.23791490309646,2.1741205762738,0.0655944092804663,0.236537415284106,0.190401634594017,"K01438/K09065/K11358",3,"Abscess"
"ko00250...222","Metabolism","Amino acid metabolism","ko00250","Alanine, aspartate and glutamate metabolism","3/201","70/14535",0.0428571428571429,3.09914712153518,2.08468089024121,0.0727798904646802,0.247929910531557,0.199572064204969,"K09758/K00608/K11358",3,"Abscess"
"ko02060...223","Environmental Information Processing","Membrane transport","ko02060","Phosphotransferase system (PTS)","3/201","72/14535",0.0416666666666667,3.01305970149254,2.02768559873185,0.0777573485048621,0.247929910531557,0.199572064204969,"K19506/K19507/K19509",3,"Abscess"
"ko00052...224","Metabolism","Carbohydrate metabolism","ko00052","Galactose metabolism","3/201","81/14535",0.037037037037037,2.67827529021559,1.79357107402121,0.101896686634701,0.28870727879832,0.23239595197388,"K00011/K08302/K07406",3,"Abscess"
"ko00380...225","Metabolism","Amino acid metabolism","ko00380","Tryptophan metabolism","3/201","81/14535",0.037037037037037,2.67827529021559,1.79357107402121,0.101896686634701,0.28870727879832,0.23239595197388,"K20204/K01667/K21801",3,"Abscess"
"ko00561...226","Metabolism","Lipid metabolism","ko00561","Glycerolipid metabolism","3/201","97/14535",0.0309278350515464,2.23649792275735,1.44688044169416,0.150901451404353,0.399050504824844,0.32121712462681,"K03715/K00011/K07406",3,"Abscess"
"ko00310","Metabolism","Amino acid metabolism","ko00310","Lysine degradation","3/201","99/14535",0.0303030303030303,2.19131614654003,1.40840674156762,0.157486933392459,0.407411849428318,0.327947618734869,"K01035/K01843/K09251",3,"Abscess"
"ko01232...228","Metabolism","Global and overview maps","ko01232","Nucleotide metabolism","3/201","123/14535",0.024390243902439,1.76374226428831,1.00726596591007,0.242109782801928,0.533538225063508,0.429473493859171,"K00527/K02566/K13483",3,"Abscess"
"ko00720...229","Metabolism","Energy metabolism","ko00720","Other carbon fixation pathways","3/201","126/14535",0.0238095238095238,1.72174840085288,0.963520787432211,0.253211356101601,0.539119318296596,0.43396601472791,"K00196/K08691/K00169",3,"Abscess"
"ko00860...230","Metabolism","Metabolism of cofactors and vitamins","ko00860","Porphyrin metabolism","3/201","142/14535",0.0211267605633803,1.52774858103847,0.748346083939336,0.313349732404349,0.621476969268625,0.50026009910168,"K04032/K09882/K09883",3,"Abscess"
"ko01250...231","Metabolism","Global and overview maps","ko01250","Biosynthesis of nucleotide sugars","3/201","221/14535",0.0135746606334842,0.981630309988519,-0.0325854981481545,0.592654254921168,0.749579006468624,0.603376290036663,"K02805/K00972/K02377",3,"Abscess"
"ko00633...232","Metabolism","Xenobiotics biodegradation and metabolism","ko00633","Nitrotoluene degradation","2/201","23/14535",0.0869565217391304,6.28812459441921,3.00544558180074,0.0397965961945439,0.175399812857434,0.141188703848089,"K00196/K00169",2,"Abscess"
"ko00643...233","Metabolism","Xenobiotics biodegradation and metabolism","ko00643","Styrene degradation","2/201","25/14535",0.08,5.78507462686567,2.83551481027602,0.046352651601821,0.196998769307739,0.158574860743072,"K01040/K01039",2,"Abscess"
"ko00997","Metabolism","Biosynthesis of other secondary metabolites","ko00997","Biosynthesis of various other secondary metabolites","2/201","29/14535",0.0689655172413793,4.98713329902213,2.54502952121539,0.0605327652435469,0.232367711741357,0.187045216881588,"K18287/K20204",2,"Abscess"
"ko00710...235","Metabolism","Energy metabolism","ko00710","Carbon fixation by Calvin cycle","2/201","37/14535",0.0540540540540541,3.90883420734167,2.09784158314806,0.0925090435021157,0.275214404418794,0.221534814702435,"K00150/K11645",2,"Abscess"
"ko00623...236","Metabolism","Xenobiotics biodegradation and metabolism","ko00623","Toluene degradation","2/201","46/14535",0.0434782608695652,3.1440622972096,1.7246620857858,0.132865332823225,0.359340331953721,0.289252279591231,"K00141/K01061",2,"Abscess"
"ko02040","Cellular Processes","Cell motility","ko02040","Flagellar assembly","2/201","55/14535",0.0363636363636364,2.62957937584803,1.43377000298292,0.176338132777639,0.446473144692321,0.359390147430351,"K02398/K02413",2,"Abscess"
"ko02026...238","Cellular Processes","Cellular community - prokaryotes","ko02026","Biofilm formation","2/201","61/14535",0.0327868852459016,2.37093222412528,1.27055516114595,0.206405381211928,0.491244807284388,0.395429256637588,"K02398/K03087",2,"Abscess"
"ko00950...239","Metabolism","Biosynthesis of other secondary metabolites","ko00950","Isoquinoline alkaloid biosynthesis","2/201","63/14535",0.0317460317460317,2.2956645344705,1.22040920759027,0.21655154215243,0.49805539311765,0.400911461952288,"K00505/K11358",2,"Abscess"
"ko00900...240","Metabolism","Metabolism of terpenoids and polyketides","ko00900","Terpenoid backbone biosynthesis","2/201","64/14535",0.03125,2.2597947761194,1.19604473868211,0.221641702914387,0.49805539311765,0.400911461952288,"K09128/K06981",2,"Abscess"
"ko03070...241","Environmental Information Processing","Membrane transport","ko03070","Bacterial secretion system","2/201","74/14535",0.027027027027027,1.95441710367084,0.974679466482061,0.272882751630248,0.550390634644059,0.443038900951874,"K03224/K03425",2,"Abscess"
"ko00790...242","Metabolism","Metabolism of cofactors and vitamins","ko00790","Folate biosynthesis","2/201","84/14535",0.0238095238095238,1.72174840085288,0.785567358182167,0.32401684962002,0.628064396284861,0.505562671932086,"K06897/K00011",2,"Abscess"
"ko00760...243","Metabolism","Metabolism of cofactors and vitamins","ko00760","Nicotinate and nicotinamide metabolism","2/201","98/14535",0.0204081632653061,1.47578434358818,0.55961792005001,0.393877234349057,0.690602948610078,0.55590330228675,"K19191/K02566",2,"Abscess"
"ko00500...244","Metabolism","Carbohydrate metabolism","ko00500","Starch and sucrose metabolism","2/201","107/14535",0.0186915887850467,1.35165295020226,0.432324645348961,0.437056165589817,0.71137062864278,0.57262032026973,"K22451/K00693",2,"Abscess"
