Description,ID,Feature,group,KO Description
Biosynthesis of nucleotide sugars,ko01250,K02473,Plaque,wbpP; UDP-N-acetylglucosamine/UDP-N-acetyl-alpha-D-glucosaminouronate 4-epimerase [EC:5.1.3.7 5.1.3.45]
Biosynthesis of nucleotide sugars,ko01250,K00886,Plaque,ppgK; polyphosphate glucokinase [EC:2.7.1.63]
Biosynthesis of nucleotide sugars,ko01250,K19180,Plaque,tll; dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD+) [EC:1.1.1.339]
Biosynthesis of nucleotide sugars,ko01250,K00066,Plaque,algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
Biosynthesis of nucleotide sugars,ko01250,K15778,Plaque,pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]
Biosynthesis of nucleotide sugars,ko01250,K03274,Plaque,"gmhD, rfaD; ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]"
Biosynthesis of nucleotide sugars,ko01250,K09001,Plaque,anmK; anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]
Biosynthesis of nucleotide sugars,ko01250,K21344,Plaque,rfaE1; D-glycero-beta-D-manno-heptose-7-phosphate kinase [EC:2.7.1.167]
Biosynthesis of nucleotide sugars,ko01250,K00965,Plaque,"galT, GALT; UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]"
Biosynthesis of nucleotide sugars,ko01250,K17947,Plaque,wbiB; dTDP-L-rhamnose 4-epimerase [EC:5.1.3.25]
Purine metabolism,ko00230,K21053,Plaque,ade; adenine deaminase [EC:3.5.4.2]
Purine metabolism,ko00230,K01525,Plaque,apaH; bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]
Purine metabolism,ko00230,K00956,Plaque,cysN; sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]
Purine metabolism,ko00230,K00957,Plaque,cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]
Purine metabolism,ko00230,K15778,Plaque,pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]
Purine metabolism,ko00230,K19710,Plaque,E2.7.7.53; ATP adenylyltransferase [EC:2.7.7.53]
Purine metabolism,ko00230,K11788,Plaque,ADE5; phosphoribosylamine--glycine ligase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 6.3.3.1]
Purine metabolism,ko00230,K01430,Plaque,ureA; urease subunit gamma [EC:3.5.1.5]
Purine metabolism,ko00230,K01428,Plaque,ureC; urease subunit alpha [EC:3.5.1.5]
Purine metabolism,ko00230,K01429,Plaque,ureB; urease subunit beta [EC:3.5.1.5]
Purine metabolism,ko00230,K01120,Plaque,"cpdP; 3',5'-cyclic-nucleotide phosphodiesterase [EC:3.1.4.17]"
Purine metabolism,ko00230,K08693,Plaque,"yfkN; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase / 5'-nucleotidase [EC:3.1.4.16 3.1.3.6 3.1.3.5]"
Purine metabolism,ko00230,K15780,Plaque,tilS-hprT; bifunctional protein TilS/HprT [EC:6.3.4.19 2.4.2.8]
Purine metabolism,ko00230,K01589,Plaque,purK; 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]
Phosphotransferase system (PTS),ko02060,K02788,Plaque,lacE; lactose PTS system EIICB component [EC:2.7.1.207]
Phosphotransferase system (PTS),ko02060,K20108,Plaque,malT; maltose PTS system EIICB or EIICBA component [EC:2.7.1.208]
Phosphotransferase system (PTS),ko02060,K20113,Plaque,gatB; galactose PTS system EIIB component [EC:2.7.1.204]
Phosphotransferase system (PTS),ko02060,K20114,Plaque,gatC; galactose PTS system EIIC component
Phosphotransferase system (PTS),ko02060,K20112,Plaque,gatA; galactose PTS system EIIA component [EC:2.7.1.204]
Phosphotransferase system (PTS),ko02060,K02793,Plaque,manXa; mannose PTS system EIIA component [EC:2.7.1.191]
Phosphotransferase system (PTS),ko02060,K02796,Plaque,manZ; mannose PTS system EIID component
Phosphotransferase system (PTS),ko02060,K02795,Plaque,manY; mannose PTS system EIIC component
Phosphotransferase system (PTS),ko02060,K02794,Plaque,manX; mannose PTS system EIIAB component [EC:2.7.1.191]
Phosphotransferase system (PTS),ko02060,K02771,Plaque,levG; fructose PTS system EIID component
Phosphotransferase system (PTS),ko02060,K02744,Plaque,agaF; N-acetylgalactosamine PTS system EIIA component [EC:2.7.1.-]
Phosphotransferase system (PTS),ko02060,K02786,Plaque,lacF; lactose PTS system EIIA component [EC:2.7.1.207]
Phosphotransferase system (PTS),ko02060,K02746,Plaque,agaW; N-acetylgalactosamine PTS system EIIC component
Pyruvate metabolism,ko00620,K13953,Plaque,"adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]"
Pyruvate metabolism,ko00620,K11263,Plaque,"bccA, pccA, accA3; acetyl-CoA/propionyl-CoA/long-chain acyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.4.1.- 6.3.4.14]"
Pyruvate metabolism,ko00620,K01595,Plaque,ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]
Pyruvate metabolism,ko00620,K04072,Plaque,adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]
Pyruvate metabolism,ko00620,K00163,Plaque,aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
Pyruvate metabolism,ko00620,K20370,Plaque,PEPCK; phosphoenolpyruvate carboxykinase (diphosphate) [EC:4.1.1.38]
Pyruvate metabolism,ko00620,K00101,Plaque,lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
Pyruvate metabolism,ko00620,K07248,Plaque,aldA; lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase [EC:1.2.1.22 1.2.1.21]
Pyruvate metabolism,ko00620,K03777,Plaque,dld; D-lactate dehydrogenase (quinone) [EC:1.1.5.12]
Pyruvate metabolism,ko00620,K00121,Plaque,"frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"
Pyruvate metabolism,ko00620,K00161,Plaque,"PDHA, pdhA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]"
Pyruvate metabolism,ko00620,K00162,Plaque,"PDHB, pdhB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]"
Pyruvate metabolism,ko00620,K00247,Plaque,frdD; succinate dehydrogenase subunit D
Galactose metabolism,ko00052,K02788,Plaque,lacE; lactose PTS system EIICB component [EC:2.7.1.207]
Galactose metabolism,ko00052,K01819,Plaque,"E5.3.1.26, lacA, lacB; galactose-6-phosphate isomerase [EC:5.3.1.26]"
Galactose metabolism,ko00052,K01220,Plaque,"E3.2.1.85, lacG; 6-phospho-beta-galactosidase [EC:3.2.1.85]"
Galactose metabolism,ko00052,K12308,Plaque,"bgaB, lacA; beta-galactosidase [EC:3.2.1.23]"
Galactose metabolism,ko00052,K02082,Plaque,agaS; D-galactosamine 6-phosphate deaminase/isomerase [EC:3.5.99.-]
Galactose metabolism,ko00052,K15778,Plaque,pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]
Galactose metabolism,ko00052,K01635,Plaque,"lacD; tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]"
Galactose metabolism,ko00052,K02744,Plaque,agaF; N-acetylgalactosamine PTS system EIIA component [EC:2.7.1.-]
Galactose metabolism,ko00052,K00965,Plaque,"galT, GALT; UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]"
Galactose metabolism,ko00052,K02786,Plaque,lacF; lactose PTS system EIIA component [EC:2.7.1.207]
Galactose metabolism,ko00052,K02746,Plaque,agaW; N-acetylgalactosamine PTS system EIIC component
