Rank,taxon,Maaslin2_coef,Maaslin2_pval,Maaslin2_qval,Maaslin2_value,ANCOMBC2_DFF,ANCOMBC2_LFC,ANCOMBC2_p_val,ANCOMBC2_q_val,ANCOMBC2_passed_SS,Aldex2_Enrichment,Aldex2_EF,Aldex2_padj,confidence,all_positive_or_negative
species,Fretibacterium fastidiosum,-1.7576750257794007,0.005057611381340395,0.020924627479663206,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Fusobacterium hwasookii,NA,NA,NA,NA,TRUE,1.9675481664683128,2.4400317680566515e-5,0.00322084193383478,FALSE,NA,NA,NA,Low,TRUE
species,Fusobacterium nucleatum,-1.3191602729827494,0.01609620733969503,0.04558114060558942,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Fusobacterium periodonticum,3.621618398743578,8.041122792732984e-6,6.122175897633252e-4,Plaque,NA,NA,NA,NA,NA,Plaque,1.5127069228767522,0.010529094218576545,Medium,TRUE
species,Gemella morbillorum,1.3885471882735083,2.614582577112529e-4,0.003921761683329474,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Granulicatella elegans,1.7637574883278777,0.0014054519841344099,0.010983346987124462,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Haemophilus parainfluenzae,2.6770028623266238,2.92923214869496e-5,0.0012361359667492733,Plaque,NA,NA,NA,NA,NA,Plaque,0.7548975057132516,0.04663496910905083,Medium,TRUE
species,Haemophilus sp HMT 036,1.587365051307059,0.0038222077201210394,0.017921907309900873,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Johnsonella ignava,NA,NA,NA,NA,TRUE,-1.4481423241501303,9.111653933155806e-5,0.011662917034439432,FALSE,NA,NA,NA,Low,TRUE
species,Kingella oralis,2.055107497384845,2.975217850711049e-4,0.003923568540625195,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Lachnoanaerobaculum umeaense,1.0572575389218593,0.004116763975351497,0.018883417365199263,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Lacticaseibacillus casei,NA,NA,NA,NA,TRUE,-2.4126587256352092,1.9722734957452477e-5,0.0026231237493411796,FALSE,NA,NA,NA,Low,TRUE
species,Lautropia mirabilis,2.7459065574654806,8.704515494265287e-6,6.122175897633252e-4,Plaque,NA,NA,NA,NA,NA,Plaque,0.9643967731019308,0.04291331112031676,Medium,TRUE
species,Leptotrichia buccalis,1.4162391145568518,2.787982239333749e-4,0.003921761683329474,Plaque,TRUE,1.2027533446736556,4.1365478003948294e-4,0.048811264044658985,FALSE,NA,NA,NA,Medium,TRUE
species,Leptotrichia hofstadii,1.3757371243403564,0.0016510900590350768,0.01201310353297935,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Leptotrichia shahii,2.4540111656846606,0.0038050115501644553,0.017921907309900873,Plaque,TRUE,2.002698779264925,1.2549079995350352e-5,0.001681576719376947,FALSE,NA,NA,NA,Medium,TRUE
species,Leptotrichia sp HMT 215,1.204285923958854,0.004456540034419877,0.019766339286102236,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Leptotrichia sp HMT 392,0.6972997226632593,0.012127387264911353,0.03906845597080448,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Leptotrichia sp HMT 498,1.1687340071502046,7.996674345753924e-4,0.008034753747400371,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Mycoplasma salivarium,-1.284426794771789,0.015841976599915403,0.04558114060558942,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Neisseria elongata,1.756389020592977,0.0017927464421494362,0.012205841377754484,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Neisseria flava,2.91481513392385,5.1456407920008776e-5,0.0018095503451869752,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Neisseria perflava,1.7775966521315885,0.016770687275040625,0.04656072388202068,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Neisseria subflava,2.886809199245357,0.0012489985467512613,0.010136103590942927,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Oribacterium sp HMT 078,-3.064006441270321,1.253264336787734e-4,0.0029382086118023543,Plaque,TRUE,-1.461320252401455,1.7769651584066982e-4,0.022212064480083726,FALSE,NA,NA,NA,Medium,TRUE
species,Peptidiphaga sp HMT 183,1.9433675168219582,0.01478822313837999,0.044575929745688254,Plaque,TRUE,2.5947078455893244,9.839578355605307e-7,1.3381826563623218e-4,FALSE,NA,NA,NA,Medium,TRUE
species,Peptococcus sp HMT 167,-1.5744956229135076,0.0028908541982902757,0.016485682049709408,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Peptostreptococcaceae G1 Eubacterium infirmum,-1.7008130326824122,0.003593709838227242,0.017921907309900873,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Peptostreptococcaceae G4 bacterium HMT 369,-1.0983758986273078,0.01620182722947491,0.04558114060558942,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Porphyromonas catoniae,NA,NA,NA,NA,TRUE,1.097137989885914,2.976023873003123e-4,0.036009888863337794,FALSE,NA,NA,NA,Low,TRUE
species,Porphyromonas endodontalis,-2.1419812611991778,0.0036544602699908903,0.017921907309900873,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Porphyromonas pasteri,2.454560234121252,6.960067497179884e-4,0.00772933811528924,Plaque,TRUE,1.407025194184439,2.0324526977733606e-4,0.02520241345238967,FALSE,NA,NA,NA,Medium,TRUE
species,Porphyromonas sp HMT 930,1.5929192971175297,0.007224149065049281,0.027219561655810683,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Prevotella melaninogenica,1.5296207835185411,0.010672734342821863,0.03632172494089376,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Prevotella nigrescens,-2.3057813895353165,0.01275322575574461,0.040163143797941975,Plaque,TRUE,-1.6226901028242489,1.7322539245880948e-4,0.021826399449809995,FALSE,NA,NA,NA,Medium,TRUE
species,Prevotella oris,-3.1716276328009836,3.790444718234802e-4,0.004704610797338489,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Prevotella pleuritidis,-1.3616549079588833,0.01360120270713453,0.042203731929490965,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Prevotella sp HMT 292,-2.466376958205288,0.001245234645473248,0.010136103590942927,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Prevotella sp HMT 315,-0.6144064302091179,0.015354743144795941,0.044997927827110325,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Riemerella sp HMT 322,1.706346729587085,2.3357188433921434e-4,0.003921761683329474,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Rothia aeria,2.4684467648840687,2.4660809211899033e-4,0.003921761683329474,Plaque,TRUE,1.3597526697651665,9.242630315246766e-5,0.011738140500363392,FALSE,NA,NA,NA,Medium,TRUE
species,Rothia dentocariosa,2.56330001788377,0.0018511228629769835,0.012205841377754484,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Ruminococcaceae G1 bacterium HMT 075,1.2415765194167685,0.008059153980216938,0.029833008593434632,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Saccharibacteria TM7 G1 bacterium HMT 348,0.9760031935989854,0.008835901999604039,0.032144402102007794,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Saccharibacteria TM7 G6 bacterium HMT 870,1.109031733560713,0.01132328240013132,0.03733144666293294,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Schaalia sp HMT 178,0.8703376930058221,0.015236974308324104,0.044997927827110325,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Selenomonas sp HMT 134,-0.564060549129814,0.006473205596198341,0.02529345149625648,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Selenomonas sp HMT 137,0.6087691681340919,0.010245793131432108,0.03544036640544549,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Solobacterium moorei,-2.6649380789438295,0.002797036865703912,0.016485682049709408,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Streptococcus constellatus,-1.16874028694211,0.010231229080552465,0.03544036640544549,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Streptococcus cristatus clade 578,3.630891115604221,7.858912380960145e-4,0.008034753747400371,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Streptococcus lactarius,1.637332270428544,0.0055263740212721044,0.022424325355546424,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Streptococcus oralis subsp dentisani clade 058,1.883067401657256,9.210771970630089e-4,0.008833967662740676,Plaque,TRUE,1.7318919854075057,7.499464700926194e-5,0.009674309464194791,FALSE,NA,NA,NA,Medium,TRUE
species,Streptococcus sanguinis,2.6489223905803905,1.7579379056987288e-6,3.709248981024318e-4,Plaque,TRUE,1.5283102956416745,4.866868724662321e-5,0.006375598029307641,FALSE,Plaque,1.0658840547438413,0.012194438399356695,High,TRUE
species,Tannerella forsythia,-0.7044740933217442,0.017176279191666796,0.04701566075856843,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Treponema denticola,-1.632022367786242,0.00466157865398317,0.019766339286102236,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Treponema lecithinolyticum,-2.0522534540322392,0.004683966655474464,0.019766339286102236,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Treponema maltophilum,-2.3006884423179663,0.00180263909037394,0.012205841377754484,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Treponema socranskii,-2.1036546674907104,0.002864367252000403,0.016485682049709408,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Treponema sp HMT 231,-1.7452322068700408,0.001176230657282035,0.010136103590942927,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Treponema sp HMT 237,-1.371530279215415,0.017380196868096387,0.04701566075856843,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Veillonella sp HMT 780,1.2644256466191734,0.013836112287001516,0.042310430326917677,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Veillonellaceae G1 bacterium HMT 150,-1.4137329338467606,0.003132964383296407,0.017396196970408995,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Weeksellaceae G1 sp HMT 907,1.4218779460415165,0.006891351542106462,0.026437730461535698,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
