Rank,Taxon,n_pairs,n_plaque,n_abscess,median_plaque,median_abscess,mean_plaque,mean_abscess,p_value,difference_in_median,difference_in_mean,Enrichment,BH_adjusted_p_value
genus,Megasphaera,25,25,25,4.079966930034128e-10,1.249857566941692e-9,3.070292797901146e-4,0.0019099483427202435,0.02381004514554109,-8.418608739382792e-10,-0.001602919062930129,Abscess,0.06349345372144291
genus,Mesorhizobium,25,25,25,3.522490752952038e-11,4.8966793692457115e-11,8.745921664546697e-11,3.2813895091705995e-5,0.05963483009045978,-1.3741886162936737e-11,-3.281380763248935e-5,Abscess,0.09112738081238797
genus,Microbacterium,25,25,25,1.4604934952466625e-10,2.1210029147879906e-10,5.069652288355044e-4,3.515267819633542e-4,0.19651934789959508,-6.605094195413282e-11,1.5543844687215022e-4,Abscess,0.23863063673522258
genus,Mitsuokella,25,25,25,1.0567472258856114e-10,1.590752186090993e-10,7.957723603152085e-5,2.041620923269428e-4,0.06337137131277046,-5.3400496020538164e-11,-1.2458485629542195e-4,Abscess,0.09576118331707535
genus,Mogibacterium,25,25,25,2.023717741796597e-10,5.061239559762255e-10,2.972582196785846e-4,3.7908582864581395e-4,0.20600583969616187,-3.037521817965658e-10,-8.182760896722937e-5,Abscess,0.24793623184670813
genus,Mycolicibacterium,25,25,25,3.522490752952038e-11,5.3025072869699766e-11,8.745921664546697e-11,8.557855603997849e-5,0.05608292288228483,-1.7800165340179388e-11,-8.557846858076185e-5,Abscess,0.09112738081238797
genus,Mycoplasma,25,25,25,1.7612453764760188e-10,2.972474380194551e-10,4.3729608322733485e-10,0.0023816973082662067,0.0055813771699792705,-1.2112290037185321e-10,-0.0023816968709701237,Abscess,0.02811360352285855
genus,Neisseria,25,25,25,0.06628092183388136,0.005403727772689587,0.08404527483468727,0.02715479034926052,0.005136937937857957,0.06087719406119177,0.056890484485426746,Plaque,0.02794494238194729
genus,Olsenella,25,25,25,5.999570728228613e-10,1.087798684839255e-8,6.833012337388653e-4,0.00416651658132662,0.07142542948962954,-1.0278029775569688e-8,-0.0034832153475877546,Abscess,0.10333891926159168
genus,Oribacterium,25,25,25,4.321298351436234e-9,0.0024149393906301555,0.00189673582896828,0.00930317393219474,0.029297524005665328,-0.002414935069331804,-0.00740643810322646,Abscess,0.07115112972804437
genus,Paenibacillus,25,25,25,3.522490752952038e-11,4.8966793692457115e-11,8.745921664546697e-11,6.328383024780265e-5,0.05963483009045978,-1.3741886162936737e-11,-6.328374278858601e-5,Abscess,0.09112738081238797
genus,Paracoccus,25,25,25,3.522490752952038e-11,5.3025072869699766e-11,8.745921664546697e-11,2.805206475023085e-5,0.043589346935158674,-1.7800165340179388e-11,-2.8051977291014204e-5,Abscess,0.08120755045454219
genus,Parascardovia,25,25,25,7.044981505904076e-11,1.144426456076591e-10,1.7491843329093394e-10,0.0049217730475827,0.006575766114271244,-4.399283054861834e-11,-0.004921772872664267,Abscess,0.03193943541217461
genus,Parvimonas,25,25,25,5.315592489029512e-4,0.004945647240207623,0.016186618094918594,0.017754814776073095,0.22596783720051722,-0.004414087991304672,-0.0015681966811545017,Abscess,0.2649278091316409
genus,Pedobacter,25,25,25,3.522490752952038e-11,4.8966793692457115e-11,8.745921664546697e-11,3.983591506767035e-4,0.05963483009045978,-1.3741886162936737e-11,-3.983590632174869e-4,Abscess,0.09112738081238797
genus,Peptidiphaga,25,25,25,4.8569266277473155e-4,1.012247911952451e-9,0.012335447911150942,0.0012381688813694256,0.008367307824832016,4.856916505268196e-4,0.011097279029781517,Plaque,0.03556105825553607
genus,Peptococcus,25,25,25,9.253137719320594e-10,3.5237830309302623e-9,3.6036346536131274e-4,0.004033119839956756,0.0055813771699792705,-2.598469258998203e-9,-0.0036727563745954433,Abscess,0.02811360352285855
genus,Peptoniphilaceae G-3,25,25,25,3.522490752952038e-11,4.8966793692457115e-11,8.745921664546697e-11,6.363127514119738e-6,0.05963483009045978,-1.3741886162936737e-11,-6.363040054903093e-6,Abscess,0.09112738081238797
genus,Peptoniphilus,25,25,25,1.7612453764760188e-10,2.6622646521047387e-10,4.3729608322733485e-10,9.605104341614965e-4,0.02066802869910461,-9.010192756287199e-11,-9.605099968654133e-4,Abscess,0.05855941464746306
genus,Peptostreptococcaceae G-1,25,25,25,2.4284612901559166e-10,6.817404910591047e-10,0.0011636208952107976,0.0018438014098060874,0.05270896977071921,-4.38894362043513e-10,-6.801805145952898e-4,Abscess,0.09112738081238797
genus,Peptostreptococcaceae G-2,25,25,25,7.044981505904076e-11,1.144426456076591e-10,1.7491843329093394e-10,5.274924209076942e-5,0.009055004653889823,-4.399283054861834e-11,-5.274906717233613e-5,Abscess,0.037317594937242904
genus,Peptostreptococcaceae G-4,25,25,25,7.044981505904076e-11,1.4847806814229503e-10,1.7491843329093394e-10,5.454955218003348e-4,0.0010283872597180606,-7.802825308325428e-11,-5.454953468819016e-4,Abscess,0.010986733870607697
genus,Peptostreptococcaceae G-5,25,25,25,1.0567472258856114e-10,1.5973587912628433e-10,2.6237764993640093e-10,1.643412794524008e-4,0.0077267098093745405,-5.4061156537723194e-11,-1.6434101707475088e-4,Abscess,0.033897823679836694
genus,Peptostreptococcaceae G-6,25,25,25,3.522490752952038e-11,5.722132280382955e-11,8.745921664546697e-11,3.306646205940766e-4,0.016633281854241188,-2.199641527430917e-11,-3.3066453313486e-4,Abscess,0.04813034749312344
genus,Peptostreptococcaceae G-7,25,25,25,2.2556426964211946e-4,8.787331586182669e-9,7.2295639037269e-4,0.0034211752290905003,0.15384919853794518,2.2555548231053329e-4,-0.00269821883871781,Plaque,0.1973914245392504
genus,Peptostreptococcaceae G-9,25,25,25,1.4836243381942282e-10,4.5449366070606976e-10,2.8343899983882513e-4,0.0019167324175049982,0.03828109212703915,-3.061312268866469e-10,-0.001633293417666173,Abscess,0.08120755045454219
genus,Peptostreptococcus,25,25,25,1.0848735901110963e-8,0.0017142860292541097,0.010304235265005549,0.016885882608839387,0.07142542948962954,-0.0017142751805182086,-0.006581647343833838,Abscess,0.10333891926159168
genus,Porphyromonas,25,25,25,0.021352317817836034,0.02642839261618112,0.02750674636824732,0.027482441580604526,0.9142910652076613,-0.005076074798345084,2.4304787642794035e-5,Abscess,0.9210635916166069
genus,Prevotella,25,25,25,0.04652458845330191,0.12045090561673004,0.05402451906001759,0.13353274017403513,7.699877290820853e-4,-0.07392631716342812,-0.07950822111401754,Abscess,0.010490982646915266
genus,Propionibacteriaceae G-1,25,25,25,3.651233738116656e-11,4.8966793692457115e-11,1.3059178640182733e-5,1.187697557656369e-10,0.1389052348020827,-1.2454456311290553e-11,1.3059059870426967e-5,Abscess,0.18164530704887738
genus,Propionibacteriaceae G-2,25,25,25,3.522490752952038e-11,5.3025072869699766e-11,8.745921664546697e-11,3.803497977874364e-5,0.05608292288228483,-1.7800165340179388e-11,-3.803489231952699e-5,Abscess,0.09112738081238797
genus,Pseudoleptotrichia,25,25,25,0.0017296479165843654,2.5306197798811287e-9,0.0028358453675131146,0.0035539900638488576,0.8506035603712152,0.0017296453859645855,-7.18144696335743e-4,Plaque,0.8697901068457539
genus,Pseudoramibacter,25,25,25,7.044981505904076e-11,1.0605014573939953e-10,1.7491843329093394e-10,7.139196539041109e-4,0.027358330156160644,-3.5600330680358776e-11,-7.139194789856777e-4,Abscess,0.0676496891134154
genus,Ralstonia,25,25,25,3.522490752952038e-11,4.8966793692457115e-11,8.745921664546697e-11,1.0096520510651639e-4,0.05963483009045978,-1.3741886162936737e-11,-1.0096511764729975e-4,Abscess,0.09112738081238797
genus,Riemerella,25,25,25,0.002048894257275515,1.012247911952451e-9,0.004403809215210476,0.001697014627786957,0.00472473171731758,0.0020488932450276032,0.002706794587423519,Plaque,0.026773479731466286
genus,Roseomonas,25,25,25,1.408996301180815e-10,2.129811721683791e-10,3.498368665818679e-10,2.3734783812870425e-4,0.022190716370158223,-7.208154205029759e-11,-2.3734748829183766e-4,Abscess,0.061590559721255475
genus,Rothia,25,25,25,0.008394394190419664,1.7870978393787756e-8,0.01429693966785574,0.0033095442253919575,8.485353611475582e-4,0.00839437631944127,0.010987395442463781,Plaque,0.010490982646915266
genus,Ruminococcaceae G-1,25,25,25,1.9714117275879215e-9,2.129811721683791e-10,0.0025070303373137823,2.6712428143868164e-4,0.03583990438424873,1.7584305554195423e-9,0.002239906055875101,Plaque,0.0799053605943906
genus,Ruminococcaceae G-2,25,25,25,1.2142306450779583e-10,1.4690038107737133e-10,8.850483365054744e-5,3.5630926729691064e-10,0.7672483874902132,-2.5477316569575503e-11,8.850447734128014e-5,Abscess,0.7904983386262803
genus,Saccharibacteria (TM7) G-1,25,25,25,0.004058090451242382,2.564096899978243e-8,0.01350276506483853,0.004581554915618176,0.033532743949932386,0.004058064810273382,0.008921210149220354,Plaque,0.07729581656255602
genus,Saccharibacteria (TM7) G-2,25,25,25,3.651233738116656e-11,4.8966793692457115e-11,5.223723931603082e-6,1.187697557656369e-10,0.1389052348020827,-1.2454456311290553e-11,5.223605161847316e-6,Abscess,0.18164530704887738
genus,Saccharibacteria (TM7) G-3,25,25,25,5.948445676706096e-10,5.350453884350192e-10,9.994872513328487e-4,0.001933524987738526,0.40421659764097384,5.979917923559041e-11,-9.340377364056773e-4,Plaque,0.44333433289655194
genus,Saccharibacteria (TM7) G-4,25,25,25,7.302467476233312e-11,1.0605014573939953e-10,4.168753018153358e-4,8.831311025789723e-5,0.1785136580054106,-3.302547097706641e-11,3.2856219155743855e-4,Abscess,0.2247949767475541
genus,Saccharibacteria (TM7) G-5,25,25,25,7.302467476233312e-11,1.0649058608418955e-10,2.400590522227407e-4,5.2268142446724665e-5,0.14623118542852132,-3.346591132185643e-11,1.8779090977601604e-4,Abscess,0.18940420207884667
genus,Saccharibacteria (TM7) G-6,25,25,25,7.270322493751896e-10,5.832758015666975e-10,0.0020156927959913986,1.9994891610488247e-4,0.19651934789959508,1.4375644780849202e-10,0.0018157438798865162,Plaque,0.23863063673522258
genus,Scardovia,25,25,25,1.408996301180815e-10,2.377979504155641e-10,2.541943705095863e-4,0.004215168851004237,0.004342697474441258,-9.689832029748257e-11,-0.00396097448049465,Abscess,0.02567855897930483
genus,Schaalia,25,25,25,0.0022114315188860338,7.345032274902874e-4,0.0029376608940146977,0.0028370800819506234,0.1064375040898226,0.0014769282913957463,1.0058081206407426e-4,Plaque,0.14621717733551387
genus,Selenomonas,25,25,25,0.006351537466183369,0.01001374104663113,0.01462079325320961,0.014817527098709881,0.6281556537099864,-0.003662203580447762,-1.967338455002715e-4,Abscess,0.6674153820668606
genus,Serratia,25,25,25,3.522490752952038e-11,4.8966793692457115e-11,5.587979618174375e-6,1.187697557656369e-10,0.22596783720051722,-1.3741886162936737e-11,5.587860848418609e-6,Abscess,0.2649278091316409
genus,Shuttleworthia,25,25,25,1.7612453764760188e-10,2.861066140191477e-10,4.3729608322733485e-10,7.535516760932473e-4,0.003988882964141757,-1.0998207637154583e-10,-7.535512387971641e-4,Abscess,0.024658549232876314
genus,Simonsiella,25,25,25,1.7141630652081748e-10,1.9586717476982846e-10,1.822660251085879e-4,4.398723266024129e-4,0.7264964148055599,-2.4450868249010975e-11,-2.5760630149382504e-4,Abscess,0.7600270185658166
