Taxon,pval,FDR
g__Schaalia_s__sp._HMT_877,0.09939316102723568,0.1785844600570657
g__Veillonella_s__rogosae,0.10350493049881043,0.18447249709868632
g__Enterobacter_s__cancerogenus,0.10350493049881043,0.18447249709868632
g__Haemophilus_s__sp._HMT_908,0.11212531173328066,0.19823755114444022
g__Mitsuokella_s__sp._HMT_521,0.11212531173328066,0.19823755114444022
g__Prevotella_s__sp._HMT_475,0.11663881126432639,0.203772152485503
g__Cryptobacterium_s__curtum,0.11663881126432639,0.203772152485503
g__Saccharibacteria_(TM7)_[G-5]_s__bacterium_HMT_356,0.11663881126432639,0.203772152485503
g__Bacteroidales_[G-2]_s__bacterium_HMT_274,0.12129106065741505,0.20779321244409862
g__Ruminococcaceae_[G-1]_s__bacterium_HMT_075,0.12129106065741505,0.20779321244409862
g__Leptotrichia_s__sp._HMT_498,0.12129106065741505,0.20779321244409862
g__Aggregatibacter_s__actinomycetemcomitans,0.12129106065741505,0.20779321244409862
g__Selenomonas_s__sp._HMT_919,0.12129106065741505,0.20779321244409862
g__Kingella_s__denitrificans,0.12608442626015326,0.21189854147143627
g__Saccharibacteria_(TM7)_[G-1]_s__bacterium_HMT_957,0.12608442626015326,0.21189854147143627
g__Selenomonas_s__sp._HMT_126,0.12608442626015326,0.21189854147143627
g__Prevotella_s__sp._HMT_301,0.12608442626015326,0.21189854147143627
g__Prevotella_s__sp._HMT_293,0.12608442626015326,0.21189854147143627
g__Leptotrichia_s__sp._HMT_417,0.13102123748911693,0.21936131428102154
g__Granulicatella_s__adiacens,0.13610378242868557,0.2244696710204441
g__Capnocytophaga_s__sp._HMT_336,0.13610378242868557,0.2244696710204441
g__Lachnoanaerobaculum_s__orale,0.13610378242868557,0.2244696710204441
g__Mitsuokella_s__sp._HMT_131,0.13610378242868557,0.2244696710204441
g__Bifidobacterium_s__dentium,0.14133430495375224,0.22966824554984738
g__Actinomyces_s__oris,0.14133430495375224,0.22966824554984738
g__Saccharibacteria_(TM7)_[G-4]_s__bacterium_HMT_355,0.14133430495375224,0.22966824554984738
g__Alloprevotella_s__sp._HMT_914,0.14133430495375224,0.22966824554984738
g__Saccharibacteria_(TM7)_[G-1]_s__bacterium_HMT_348,0.1467150002713476,0.23581101861794776
g__Limosilactobacillus_s__vaginalis,0.1467150002713476,0.23581101861794776
g__Arachnia_s__rubra,0.1467150002713476,0.23581101861794776
g__Capnocytophaga_s__haemolytica,0.15793542750383976,0.2502059460813519
g__Leptotrichia_s__sp._HMT_223,0.15793542750383976,0.2502059460813519
g__Eikenella_s__sp._HMT_011,0.15793542750383976,0.2502059460813519
g__Prevotella_s__sp._HMT_309,0.15793542750383976,0.2502059460813519
g__Microbacterium_s__flavescens,0.16377927524424093,0.2576172229820445
g__Anaeroglobus_s__geminatus,0.16377927524424093,0.2576172229820445
g__Streptococcus_s__parasanguinis_clade_721,0.16978151990960158,0.2633102870176979
g__Capnocytophaga_s__sp._HMT_335,0.16978151990960158,0.2633102870176979
g__Actinomyces_s__israelii,0.16978151990960158,0.2633102870176979
g__Serratia_s__marcescens,0.16978151990960158,0.2633102870176979
g__Johnsonella_s__ignava,0.17594405959705736,0.2690909146778524
g__Gracilibacteria_(GN02)_[G-2]_s__bacterium_HMT_873,0.17594405959705736,0.2690909146778524
g__Actinomyces_s__sp._HMT_170,0.17594405959705736,0.2690909146778524
g__Sneathia_s__sanguinegens,0.17594405959705736,0.2690909146778524
g__Treponema_s__amylovorum,0.18226872125635965,0.27780267170796885
g__Fusobacterium_s__hwasookii,0.1887572577036387,0.2799688184731822
g__Kingella_s__sp._HMT_012,0.1887572577036387,0.2799688184731822
g__Corynebacterium_s__coyleae,0.1887572577036387,0.2799688184731822
g__Treponema_s__medium,0.1887572577036387,0.2799688184731822
g__Oribacterium_s__parvum,0.1887572577036387,0.2799688184731822
g__Propionibacteriaceae_[G-1]_s__bacterium_HMT_915,0.1887572577036387,0.2799688184731822
g__Veillonella_s__denticariosi,0.1887572577036387,0.2799688184731822
g__Saccharibacteria_(TM7)_[G-2]_s__bacterium_HMT_350,0.1887572577036387,0.2799688184731822
g__Selenomonas_s__noxia,0.19541134313296699,0.28790604554923804
g__Fusobacterium_s__sp._HMT_370,0.19541134313296699,0.28790604554923804
g__Aggregatibacter_s__paraphrophilus,0.20223257018851953,0.29500592746972154
g__Treponema_s__vincentii,0.20223257018851953,0.29500592746972154
g__Actinomyces_s__sp._HMT_448,0.20223257018851953,0.29500592746972154
g__Saccharibacteria_(TM7)_[G-1]_s__bacterium_HMT_352,0.21638238692682304,0.31460860204492036
g__Schaalia_s__sp._HMT_178,0.22371371901962778,0.32420152067762453
g__Veillonella_s__parvula,0.23121767044399744,0.3339810795302185
